ID,추석까지 남은 기간(주),쇼핑몰 구분,가격(원),프로모션 여부,도시 유형,지역 유형,쇼핑몰 유형,선물 유형,수요량
TRAIN_0068,0,쇼핑몰 47,212000,0,도시 1,지역 1,쇼핑몰 유형 1,종합과일선물세트,15
TRAIN_0069,2,쇼핑몰 57,142000,0,도시 6,지역 1,쇼핑몰 유형 2,명품샤인머스캣선물세트,136
TRAIN_0070,0,쇼핑몰 59,225000,0,도시 2,지역 2,쇼핑몰 유형 1,프리미엄한과선물세트,123
TRAIN_0071,0,쇼핑몰 31,72000,1,도시 16,지역 3,쇼핑몰 유형 3,알찬스팸선물세트,244
TRAIN_0072,2,쇼핑몰 9,118000,0,도시 9,지역 4,쇼핑몰 유형 1,자연산새우선물세트,609
TRAIN_0073,2,쇼핑몰 21,306000,0,도시 19,지역 4,쇼핑몰 유형 1,유기농송이버섯선물세트,271
TRAIN_0074,0,쇼핑몰 34,220000,1,도시 16,지역 7,쇼핑몰 유형 1,최고급송이버섯선물세트,487
TRAIN_0075,2,쇼핑몰 56,82000,0,도시 16,지역 4,쇼핑몰 유형 1,최적의선택스팸선물세트,163
TRAIN_0076,0,쇼핑몰 39,152000,0,도시 24,지역 1,쇼핑몰 유형 1,프리미엄고당도샤인머스캣선물세트,229
TRAIN_0077,2,쇼핑몰 50,118000,0,도시 16,지역 3,쇼핑몰 유형 1,유기농올리브유선물세트,55
TRAIN_0078,0,쇼핑몰 19,69000,0,도시 17,지역 1,쇼핑몰 유형 3,스팸안심특선,109
TRAIN_0079,0,쇼핑몰 72,329000,0,도시 21,지역 1,쇼핑몰 유형 1,명품한우선물세트,27
TRAIN_0080,1,쇼핑몰 3,69000,0,도시 3,지역 1,쇼핑몰 유형 1,스팸안심특선,121
TRAIN_0081,0,쇼핑몰 71,119000,0,도시 16,지역 3,쇼핑몰 유형 1,자연산새우선물세트,365
TRAIN_0082,2,쇼핑몰 25,211000,0,도시 22,지역 4,쇼핑몰 유형 3,한과종합선물세트,27
TRAIN_0083,0,쇼핑몰 39,142000,0,도시 24,지역 1,쇼핑몰 유형 1,명품반건시곶감선물세트,433
TRAIN_0084,1,쇼핑몰 35,220000,1,도시 16,지역 4,쇼핑몰 유형 1,유기농송이버섯선물세트,406
TRAIN_0085,0,쇼핑몰 54,136000,0,도시 16,지역 1,쇼핑몰 유형 1,재래김특선세트,80
TRAIN_0086,1,쇼핑몰 69,119000,0,도시 5,지역 4,쇼핑몰 유형 2,상주반건시곶감선물세트,161
TRAIN_0087,0,쇼핑몰 17,211000,0,도시 15,지역 3,쇼핑몰 유형 1,한과종합선물세트,54
TRAIN_0088,1,쇼핑몰 69,42000,0,도시 5,지역 4,쇼핑몰 유형 2,행복스팸선물세트,297
TRAIN_0089,2,쇼핑몰 26,112000,0,도시 6,지역 1,쇼핑몰 유형 1,유기농올리브유선물세트,716
TRAIN_0090,2,쇼핑몰 51,143000,0,도시 6,지역 1,쇼핑몰 유형 1,명품반건시곶감선물세트,297
TRAIN_0091,0,쇼핑몰 53,163000,0,도시 16,지역 1,쇼핑몰 유형 3,프리미엄종합스팸선물세트,96
TRAIN_0092,2,쇼핑몰 21,69000,0,도시 19,지역 4,쇼핑몰 유형 1,스팸안심특선,69
TRAIN_0093,1,쇼핑몰 30,72000,0,도시 5,지역 4,쇼핑몰 유형 2,알찬스팸선물세트,82
TRAIN_0094,2,쇼핑몰 45,43000,0,도시 14,지역 4,쇼핑몰 유형 1,행복스팸선물세트,148
TRAIN_0095,2,쇼핑몰 25,112000,0,도시 22,지역 4,쇼핑몰 유형 3,고당도샤인머스캣선물세트,662
TRAIN_0096,2,쇼핑몰 55,80000,0,도시 5,지역 4,쇼핑몰 유형 2,알찬스팸선물세트,189
TRAIN_0097,0,쇼핑몰 3,152000,0,도시 3,지역 1,쇼핑몰 유형 1,프리미엄고당도샤인머스캣선물세트,377
TRAIN_0098,1,쇼핑몰 46,150000,0,도시 16,지역 3,쇼핑몰 유형 1,프리미엄종합스팸선물세트,244
TRAIN_0099,2,쇼핑몰 69,145000,0,도시 5,지역 4,쇼핑몰 유형 2,최고의선택스팸선물세트,123
TRAIN_0100,0,쇼핑몰 4,153000,0,도시 4,지역 3,쇼핑몰 유형 1,프리미엄종합스팸선물세트,148
TRAIN_0101,0,쇼핑몰 50,131000,0,도시 16,지역 3,쇼핑몰 유형 1,감동스팸선물세트,69
TRAIN_0102,1,쇼핑몰 25,113000,1,도시 22,지역 4,쇼핑몰 유형 3,알찬표고버섯3종세트,122
TRAIN_0103,2,쇼핑몰 75,113000,0,도시 16,지역 4,쇼핑몰 유형 3,고당도샤인머스캣선물세트,729
TRAIN_0104,1,쇼핑몰 31,149000,0,도시 16,지역 3,쇼핑몰 유형 3,프리미엄특선스팸선물세트,134
TRAIN_0105,2,쇼핑몰 5,113000,1,도시 5,지역 4,쇼핑몰 유형 1,블랙타이거새우선물세트,1095
TRAIN_0106,2,쇼핑몰 35,211000,0,도시 16,지역 4,쇼핑몰 유형 1,명절혼합과일선물세트,15
TRAIN_0107,0,쇼핑몰 59,113000,1,도시 2,지역 2,쇼핑몰 유형 1,알찬표고버섯3종세트,81
TRAIN_0108,2,쇼핑몰 11,212000,0,도시 5,지역 4,쇼핑몰 유형 3,한과종합선물세트,95
TRAIN_0109,2,쇼핑몰 4,108000,0,도시 4,지역 3,쇼핑몰 유형 1,상주반건시곶감선물세트,256
TRAIN_0110,0,쇼핑몰 61,145000,0,도시 5,지역 4,쇼핑몰 유형 1,명품샤인머스캣선물세트,81
TRAIN_0111,2,쇼핑몰 63,305000,0,도시 16,지역 3,쇼핑몰 유형 2,최고급송이버섯선물세트,68
TRAIN_0112,2,쇼핑몰 3,159000,0,도시 3,지역 1,쇼핑몰 유형 1,명품반건시곶감선물세트,324
TRAIN_0113,2,쇼핑몰 15,112000,0,도시 6,지역 1,쇼핑몰 유형 2,유기농올리브유선물세트,136
TRAIN_0114,2,쇼핑몰 38,184000,0,도시 16,지역 1,쇼핑몰 유형 2,한과종합선물세트,13
TRAIN_0115,2,쇼핑몰 44,152000,0,도시 16,지역 3,쇼핑몰 유형 2,프리미엄고당도샤인머스캣선물세트,258
TRAIN_0116,0,쇼핑몰 15,207000,0,도시 6,지역 1,쇼핑몰 유형 2,자연산프리미엄버섯선물세트,54
TRAIN_0117,1,쇼핑몰 14,69000,0,도시 13,지역 1,쇼핑몰 유형 1,스팸안심특선,94
TRAIN_0118,1,쇼핑몰 6,231000,0,도시 6,지역 1,쇼핑몰 유형 3,유기농과일선물세트,40
TRAIN_0119,0,쇼핑몰 65,225000,0,도시 16,지역 2,쇼핑몰 유형 2,고급한과선물세트,14
TRAIN_0120,0,쇼핑몰 41,132000,0,도시 16,지역 4,쇼핑몰 유형 2,프리미엄왕곶감선물세트,270
TRAIN_0121,1,쇼핑몰 49,216000,0,도시 16,지역 3,쇼핑몰 유형 2,자연산프리미엄버섯선물세트,68
TRAIN_0122,2,쇼핑몰 31,123000,0,도시 16,지역 3,쇼핑몰 유형 3,자연산새우선물세트,1040
TRAIN_0123,0,쇼핑몰 51,231000,0,도시 6,지역 1,쇼핑몰 유형 1,유기농과일선물세트,14
TRAIN_0124,1,쇼핑몰 3,118000,1,도시 3,지역 1,쇼핑몰 유형 1,알찬표고버섯3종세트,136
TRAIN_0125,0,쇼핑몰 18,220000,1,도시 16,지역 5,쇼핑몰 유형 1,자연산생송이버섯선물세트,203
TRAIN_0126,0,쇼핑몰 61,339000,0,도시 5,지역 4,쇼핑몰 유형 1,1++등급한우선물세트,14
TRAIN_0127,0,쇼핑몰 66,142000,0,도시 16,지역 1,쇼핑몰 유형 2,프리미엄왕곶감선물세트,420
TRAIN_0128,0,쇼핑몰 35,42000,0,도시 16,지역 4,쇼핑몰 유형 1,특선스팸선물세트,161
TRAIN_0129,1,쇼핑몰 17,220000,1,도시 15,지역 3,쇼핑몰 유형 1,최고급송이버섯선물세트,730
TRAIN_0130,2,쇼핑몰 73,136000,0,도시 16,지역 8,쇼핑몰 유형 1,두번구운돌김선물세트,26
TRAIN_0131,2,쇼핑몰 47,114000,0,도시 1,지역 1,쇼핑몰 유형 1,스페셜올리브유선물세트,163
TRAIN_0132,2,쇼핑몰 53,231000,0,도시 16,지역 1,쇼핑몰 유형 3,유기농과일선물세트,13
TRAIN_0133,2,쇼핑몰 4,141000,0,도시 4,지역 3,쇼핑몰 유형 1,프리미엄왕곶감선물세트,473
TRAIN_0134,0,쇼핑몰 4,124000,0,도시 4,지역 3,쇼핑몰 유형 1,자연산새우선물세트,432
TRAIN_0135,0,쇼핑몰 48,207000,0,도시 16,지역 3,쇼핑몰 유형 3,자연산프리미엄버섯선물세트,40
TRAIN_0136,0,쇼핑몰 46,136000,0,도시 16,지역 3,쇼핑몰 유형 1,상주반건시곶감선물세트,109
TRAIN_0137,0,쇼핑몰 12,145000,0,도시 11,지역 3,쇼핑몰 유형 2,명품반건시곶감선물세트,458
TRAIN_0138,1,쇼핑몰 48,339000,0,도시 16,지역 3,쇼핑몰 유형 3,명품한우선물세트,67
TRAIN_0139,0,쇼핑몰 10,41000,0,도시 10,지역 4,쇼핑몰 유형 1,행복스팸선물세트,298
TRAIN_0140,2,쇼핑몰 24,320000,0,도시 21,지역 1,쇼핑몰 유형 1,명품한우선물세트,68
TRAIN_0141,2,쇼핑몰 68,136000,0,도시 16,지역 4,쇼핑몰 유형 1,손질새우선물세트,431
TRAIN_0142,2,쇼핑몰 71,112000,0,도시 16,지역 3,쇼핑몰 유형 1,유기농올리브유선물세트,94
TRAIN_0143,1,쇼핑몰 6,166000,0,도시 6,지역 1,쇼핑몰 유형 3,최고의선택스팸선물세트,175
TRAIN_0144,1,쇼핑몰 61,113000,0,도시 5,지역 4,쇼핑몰 유형 1,자연산새우선물세트,500
TRAIN_0145,1,쇼핑몰 60,278000,0,도시 16,지역 1,쇼핑몰 유형 1,영광굴비선물세트,54
TRAIN_0146,0,쇼핑몰 43,145000,0,도시 5,지역 4,쇼핑몰 유형 1,명품샤인머스캣선물세트,283
TRAIN_0147,2,쇼핑몰 27,120000,0,도시 5,지역 4,쇼핑몰 유형 2,명품샤인머스캣선물세트,447
TRAIN_0148,2,쇼핑몰 36,118000,0,도시 16,지역 3,쇼핑몰 유형 1,상주반건시곶감선물세트,177
TRAIN_0149,1,쇼핑몰 49,121000,0,도시 16,지역 3,쇼핑몰 유형 2,손질새우선물세트,258
TRAIN_0150,0,쇼핑몰 68,112000,0,도시 16,지역 4,쇼핑몰 유형 1,유기농올리브유선물세트,123
TRAIN_0151,1,쇼핑몰 12,40000,0,도시 11,지역 3,쇼핑몰 유형 2,특선스팸선물세트,108
TRAIN_0152,1,쇼핑몰 39,229000,1,도시 24,지역 1,쇼핑몰 유형 1,유기농송이버섯선물세트,500
TRAIN_0153,1,쇼핑몰 68,211000,0,도시 16,지역 4,쇼핑몰 유형 1,한과종합선물세트,81
TRAIN_0154,1,쇼핑몰 9,132000,0,도시 9,지역 4,쇼핑몰 유형 1,명품반건시곶감선물세트,230
TRAIN_0155,1,쇼핑몰 67,111000,0,도시 6,지역 1,쇼핑몰 유형 1,특별한선택스팸선물세트,1324
TRAIN_0156,1,쇼핑몰 53,73000,0,도시 16,지역 1,쇼핑몰 유형 3,건강담은견과류선물세트,190
TRAIN_0157,2,쇼핑몰 15,113000,0,도시 6,지역 1,쇼핑몰 유형 2,스페셜올리브유선물세트,67
TRAIN_0158,1,쇼핑몰 27,79000,0,도시 5,지역 4,쇼핑몰 유형 2,특별한선택스팸선물세트,95
TRAIN_0159,2,쇼핑몰 29,154000,0,도시 24,지역 1,쇼핑몰 유형 3,프리미엄종합스팸선물세트,324
TRAIN_0160,0,쇼핑몰 54,142000,0,도시 16,지역 1,쇼핑몰 유형 1,명품반건시곶감선물세트,392
TRAIN_0161,0,쇼핑몰 18,112000,0,도시 16,지역 5,쇼핑몰 유형 1,프리미엄올리브유선물세트,13
TRAIN_0162,2,쇼핑몰 55,129000,0,도시 5,지역 4,쇼핑몰 유형 2,감동스팸선물세트,28
TRAIN_0163,1,쇼핑몰 71,339000,0,도시 16,지역 3,쇼핑몰 유형 1,프리미엄한우선물세트,15
TRAIN_0164,2,쇼핑몰 4,151000,0,도시 4,지역 3,쇼핑몰 유형 1,프리미엄특선스팸선물세트,216
TRAIN_0165,1,쇼핑몰 4,145000,0,도시 4,지역 3,쇼핑몰 유형 1,명품반건시곶감선물세트,366
TRAIN_0166,0,쇼핑몰 62,131000,0,도시 16,지역 3,쇼핑몰 유형 3,재래김특선세트,311
TRAIN_0167,0,쇼핑몰 26,137000,0,도시 6,지역 1,쇼핑몰 유형 1,명품반건시곶감선물세트,486
TRAIN_0168,1,쇼핑몰 21,132000,0,도시 19,지역 4,쇼핑몰 유형 1,재래김특선세트,391
TRAIN_0169,1,쇼핑몰 72,154000,0,도시 21,지역 1,쇼핑몰 유형 1,명품샤인머스캣선물세트,539
TRAIN_0170,2,쇼핑몰 13,94000,0,도시 12,지역 3,쇼핑몰 유형 1,손질새우선물세트,107
TRAIN_0171,0,쇼핑몰 4,145000,0,도시 4,지역 3,쇼핑몰 유형 1,명품반건시곶감선물세트,310
TRAIN_0172,0,쇼핑몰 62,146000,0,도시 16,지역 3,쇼핑몰 유형 3,명품반건시곶감선물세트,163
TRAIN_0173,2,쇼핑몰 19,114000,0,도시 17,지역 1,쇼핑몰 유형 3,리본포장홍삼선물세트,40
TRAIN_0174,2,쇼핑몰 51,112000,0,도시 6,지역 1,쇼핑몰 유형 1,프리미엄올리브유선물세트,55
TRAIN_0175,2,쇼핑몰 26,197000,0,도시 6,지역 1,쇼핑몰 유형 1,건강가득버섯선물세트,163
TRAIN_0176,0,쇼핑몰 16,119000,0,도시 14,지역 4,쇼핑몰 유형 3,상주반건시곶감선물세트,53
TRAIN_0177,1,쇼핑몰 5,211000,0,도시 5,지역 4,쇼핑몰 유형 1,한과종합선물세트,40
TRAIN_0178,2,쇼핑몰 17,339000,0,도시 15,지역 3,쇼핑몰 유형 1,명품한우선물세트,94
TRAIN_0179,0,쇼핑몰 6,221000,0,도시 6,지역 1,쇼핑몰 유형 3,블랙타이거새우선물세트,825
TRAIN_0180,1,쇼핑몰 43,131000,0,도시 5,지역 4,쇼핑몰 유형 1,고당도샤인머스캣선물세트,364
TRAIN_0181,2,쇼핑몰 38,225000,0,도시 16,지역 1,쇼핑몰 유형 2,고급한과선물세트,26
TRAIN_0182,1,쇼핑몰 14,142000,0,도시 13,지역 1,쇼핑몰 유형 1,명품반건시곶감선물세트,350
TRAIN_0183,2,쇼핑몰 43,112000,0,도시 5,지역 4,쇼핑몰 유형 1,프리미엄올리브유선물세트,80
TRAIN_0184,2,쇼핑몰 38,68000,0,도시 16,지역 1,쇼핑몰 유형 2,실속스팸선물세트,203
TRAIN_0185,1,쇼핑몰 7,66000,0,도시 7,지역 1,쇼핑몰 유형 1,실속스팸선물세트,837
TRAIN_0186,1,쇼핑몰 54,225000,0,도시 16,지역 1,쇼핑몰 유형 1,고급한과선물세트,15
TRAIN_0187,2,쇼핑몰 54,169000,0,도시 16,지역 1,쇼핑몰 유형 1,알찬표고버섯3종세트,28
TRAIN_0188,0,쇼핑몰 23,68000,0,도시 6,지역 1,쇼핑몰 유형 2,특선스팸선물세트,108
TRAIN_0189,1,쇼핑몰 73,64000,0,도시 16,지역 8,쇼핑몰 유형 1,특선스팸선물세트,107
TRAIN_0190,2,쇼핑몰 68,113000,1,도시 16,지역 4,쇼핑몰 유형 1,블랙타이거새우선물세트,1310
TRAIN_0191,2,쇼핑몰 3,334000,0,도시 3,지역 1,쇼핑몰 유형 1,자연산생송이버섯선물세트,94
TRAIN_0192,1,쇼핑몰 6,136000,0,도시 6,지역 1,쇼핑몰 유형 3,명품맛김선물세트,135
TRAIN_0193,0,쇼핑몰 29,68000,0,도시 24,지역 1,쇼핑몰 유형 3,특선스팸선물세트,204
TRAIN_0194,2,쇼핑몰 6,278000,0,도시 6,지역 1,쇼핑몰 유형 3,보리굴비프리미엄선물세트,474
TRAIN_0195,0,쇼핑몰 20,136000,0,도시 18,지역 6,쇼핑몰 유형 1,손질새우선물세트,445
TRAIN_0196,1,쇼핑몰 73,69000,0,도시 16,지역 8,쇼핑몰 유형 1,스팸안심특선,108
TRAIN_0197,0,쇼핑몰 20,136000,0,도시 18,지역 6,쇼핑몰 유형 1,상주반건시곶감선물세트,204
TRAIN_0198,2,쇼핑몰 46,116000,0,도시 16,지역 3,쇼핑몰 유형 1,상주반건시곶감선물세트,175
TRAIN_0199,0,쇼핑몰 40,143000,0,도시 6,지역 1,쇼핑몰 유형 1,자연산새우선물세트,459
TRAIN_0200,1,쇼핑몰 17,145000,0,도시 15,지역 3,쇼핑몰 유형 1,명품반건시곶감선물세트,445
TRAIN_0201,2,쇼핑몰 50,117000,0,도시 16,지역 3,쇼핑몰 유형 1,상주반건시곶감선물세트,94
TRAIN_0202,1,쇼핑몰 3,136000,0,도시 3,지역 1,쇼핑몰 유형 1,상주반건시곶감선물세트,243
TRAIN_0203,1,쇼핑몰 47,160000,0,도시 1,지역 1,쇼핑몰 유형 1,프리미엄특선스팸선물세트,419
TRAIN_0204,1,쇼핑몰 10,131000,0,도시 10,지역 4,쇼핑몰 유형 1,명품맛김선물세트,82
TRAIN_0205,0,쇼핑몰 15,136000,0,도시 6,지역 1,쇼핑몰 유형 2,상주반건시곶감선물세트,944
TRAIN_0206,1,쇼핑몰 5,118000,0,도시 5,지역 4,쇼핑몰 유형 1,유기농올리브유선물세트,108
TRAIN_0207,0,쇼핑몰 31,225000,0,도시 16,지역 3,쇼핑몰 유형 3,고급한과선물세트,69
TRAIN_0208,1,쇼핑몰 14,65000,0,도시 13,지역 1,쇼핑몰 유형 1,특선스팸선물세트,337
TRAIN_0209,0,쇼핑몰 40,136000,0,도시 6,지역 1,쇼핑몰 유형 1,재래김특선세트,108
TRAIN_0210,1,쇼핑몰 15,113000,0,도시 6,지역 1,쇼핑몰 유형 2,리본포장홍삼선물세트,41
TRAIN_0211,2,쇼핑몰 16,142000,0,도시 14,지역 4,쇼핑몰 유형 3,최고의선택스팸선물세트,176
TRAIN_0212,2,쇼핑몰 27,306000,0,도시 5,지역 4,쇼핑몰 유형 2,최고급송이버섯선물세트,54
TRAIN_0213,0,쇼핑몰 42,207000,0,도시 16,지역 4,쇼핑몰 유형 3,자연산프리미엄버섯선물세트,82
TRAIN_0214,1,쇼핑몰 76,113000,1,도시 16,지역 1,쇼핑몰 유형 1,알찬표고버섯3종세트,257
TRAIN_0215,0,쇼핑몰 3,159000,0,도시 3,지역 1,쇼핑몰 유형 1,프리미엄왕곶감선물세트,917
TRAIN_0216,1,쇼핑몰 16,113000,1,도시 14,지역 4,쇼핑몰 유형 3,알찬표고버섯3종세트,54
TRAIN_0217,1,쇼핑몰 64,161000,0,도시 6,지역 1,쇼핑몰 유형 3,프리미엄종합스팸선물세트,108
TRAIN_0218,1,쇼핑몰 54,197000,0,도시 16,지역 1,쇼핑몰 유형 1,건강가득버섯선물세트,95
